Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%,Suggested_Related_Stocks
360ONE,30,1112.44,0.0,"ADANIENSOL, ADANIGREEN"
360ONE,180,1107.38,0.0,"ADANIENSOL, ADANIGREEN"
360ONE,365,1087.32,25.87,"ADANIENSOL, ADANIGREEN"
3MINDIA,30,27037.12,83.56,"GMDCLTD, AWL"
3MINDIA,180,26863.47,76.13,"GMDCLTD, AWL"
3MINDIA,365,26977.14,80.68,"GMDCLTD, AWL"
AARTIIND,30,959.95,0.0,"ALOKINDS, ANGELONE"
AARTIIND,180,960.16,0.0,"ALOKINDS, ANGELONE"
AARTIIND,365,951.66,0.0,"ALOKINDS, ANGELONE"
AAVAS,30,1903.99,63.26,"AXISBANK, CLEAN"
AAVAS,180,1900.68,46.66,"AXISBANK, CLEAN"
AAVAS,365,1898.01,31.98,"AXISBANK, CLEAN"
ABB,30,3709.78,79.49,"ABCAPITAL, ACE"
ABB,180,3731.76,80.47,"ABCAPITAL, ACE"
ABB,365,3865.52,82.52,"ABCAPITAL, ACE"
ABCAPITAL,30,133.69,61.38,"PRESTIGE, ADANIENT"
ABCAPITAL,180,134.22,62.27,"PRESTIGE, ADANIENT"
ABCAPITAL,365,134.26,58.25,"PRESTIGE, ADANIENT"
ABFRL,30,244.28,61.47,"AJANTPHARM, GMDCLTD"
ABFRL,180,245.54,60.96,"AJANTPHARM, GMDCLTD"
ABFRL,365,246.14,60.43,"AJANTPHARM, GMDCLTD"
ABREL,30,1181.56,82.93,"BAJAJ-AUTO, GMDCLTD"
ABREL,180,1194.63,83.01,"BAJAJ-AUTO, GMDCLTD"
ABREL,365,1195.4,79.28,"BAJAJ-AUTO, GMDCLTD"
ABSLAMC,30,542.32,77.18,"ABCAPITAL, ADANIENT"
ABSLAMC,180,540.1,70.82,"ABCAPITAL, ADANIENT"
ABSLAMC,365,539.31,69.66,"ABCAPITAL, ADANIENT"
ACC,30,1900.6,0.0,"3MINDIA, ABB"
ACC,180,1893.78,0.0,"3MINDIA, ABB"
ACC,365,1895.83,0.0,"3MINDIA, ABB"
ACE,30,533.76,80.14,"COCHINSHIP, FINEORG"
ACE,180,534.08,78.34,"COCHINSHIP, FINEORG"
ACE,365,550.96,80.56,"COCHINSHIP, FINEORG"
ACI,30,630.78,0.0,"3MINDIA, ABB"
ACI,180,625.38,29.91,"3MINDIA, ABB"
ACI,365,622.92,16.47,"3MINDIA, ABB"
ADANIENSOL,30,1258.73,77.6,"3MINDIA, AWL"
ADANIENSOL,180,1284.02,80.15,"3MINDIA, AWL"
ADANIENSOL,365,1298.29,82.08,"3MINDIA, AWL"
ADANIENT,30,1781.55,74.33,"THERMAX, ABCAPITAL"
ADANIENT,180,1783.55,74.07,"THERMAX, ABCAPITAL"
ADANIENT,365,1773.62,69.86,"THERMAX, ABCAPITAL"
ADANIGREEN,30,1216.68,71.53,"NYKAA, ABCAPITAL"
ADANIGREEN,180,1205.8,66.59,"NYKAA, ABCAPITAL"
ADANIGREEN,365,1216.6,73.03,"NYKAA, ABCAPITAL"
ADANIPORTS,30,732.02,52.75,"ADANIENT, KALYANKJIL"
ADANIPORTS,180,740.46,48.3,"ADANIENT, KALYANKJIL"
ADANIPORTS,365,734.23,40.97,"ADANIENT, KALYANKJIL"
ADANIPOWER,30,205.77,0.0,"3MINDIA, ABB"
ADANIPOWER,180,201.84,0.0,"3MINDIA, ABB"
ADANIPOWER,365,194.13,0.0,"3MINDIA, ABB"
AEGISLOG,30,335.28,0.0,"ABB, ABCAPITAL"
AEGISLOG,180,335.31,0.0,"ABB, ABCAPITAL"
AEGISLOG,365,334.53,0.0,"ABB, ABCAPITAL"
AFFLE,30,2280.73,76.74,"ATGL, DOMS"
AFFLE,180,2325.89,77.68,"ATGL, DOMS"
AFFLE,365,2416.39,73.02,"ATGL, DOMS"
AIAENG,30,2544.72,65.03,"APLLTD, GMDCLTD"
