Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%,Suggested_Related_Stocks
360ONE,30,1297.07,0.0,"BAJAJFINSV, BAJAJHLDNG"
360ONE,180,1359.86,4.21,"BAJAJFINSV, BAJAJHLDNG"
360ONE,365,1448.17,12.33,"BAJAJFINSV, BAJAJHLDNG"
3MINDIA,30,30690.63,32.89,"INDIACEM, RAMCOCEM"
3MINDIA,180,33182.02,58.18,"INDIACEM, RAMCOCEM"
3MINDIA,365,33975.74,57.49,"INDIACEM, RAMCOCEM"
AARTIIND,30,680.88,28.19,"CHEMPLASTS, GNFC"
AARTIIND,180,632.08,31.59,"CHEMPLASTS, GNFC"
AARTIIND,365,646.38,16.13,"CHEMPLASTS, GNFC"
AAVAS,30,1446.36,53.53,"AXISBANK, IDFCFIRSTB"
AAVAS,180,1348.89,53.3,"AXISBANK, IDFCFIRSTB"
AAVAS,365,1452.53,38.31,"AXISBANK, IDFCFIRSTB"
ABB,30,4216.44,24.28,"ABCAPITAL, EXIDEIND"
ABB,180,4687.58,42.79,"ABCAPITAL, EXIDEIND"
ABB,365,5182.22,48.43,"ABCAPITAL, EXIDEIND"
ABCAPITAL,30,167.22,54.17,"BAJFINANCE, IDFCFIRSTB"
ABCAPITAL,180,173.32,54.1,"BAJFINANCE, IDFCFIRSTB"
ABCAPITAL,365,183.35,58.74,"BAJFINANCE, IDFCFIRSTB"
ABFRL,30,108.71,73.82,"DOMS, CELLO"
ABFRL,180,96.9,75.45,"DOMS, CELLO"
ABFRL,365,102.17,68.43,"DOMS, CELLO"
ABREL,30,202.07,65.94,"BRIGADE, PRESTIGE"
ABREL,180,205.03,64.88,"BRIGADE, PRESTIGE"
ABREL,365,202.08,53.15,"BRIGADE, PRESTIGE"
ABSLAMC,30,646.07,39.05,"LICHSGFIN, PNBHOUSING"
ABSLAMC,180,683.53,37.23,"LICHSGFIN, PNBHOUSING"
ABSLAMC,365,730.54,27.27,"LICHSGFIN, PNBHOUSING"
ACC,30,1529.58,60.99,"ADANIPORTS, GPPL"
ACC,180,1518.6,60.5,"ADANIPORTS, GPPL"
ACC,365,1528.55,49.41,"ADANIPORTS, GPPL"
ACE,30,690.87,45.02,"TECHNOE, BRIGADE"
ACE,180,832.73,59.27,"TECHNOE, BRIGADE"
ACE,365,900.26,63.0,"TECHNOE, BRIGADE"
ACI,30,675.36,36.13,"GNFC, PIIND"
ACI,180,704.89,25.32,"GNFC, PIIND"
ACI,365,762.81,44.83,"GNFC, PIIND"
ADANIENSOL,30,1261.54,3.31,"JSWENERGY, ADANIENT"
ADANIENSOL,180,1493.15,10.87,"JSWENERGY, ADANIENT"
ADANIENSOL,365,1729.56,33.39,"JSWENERGY, ADANIENT"
ADANIENT,30,2398.62,37.81,"TATAPOWER, TORNTPOWER"
ADANIENT,180,2715.13,49.03,"TATAPOWER, TORNTPOWER"
ADANIENT,365,2797.64,42.39,"TATAPOWER, TORNTPOWER"
ADANIGREEN,30,94.55,53.17,"RECLTD, GRINFRA"
ADANIGREEN,180,88.92,44.79,"RECLTD, GRINFRA"
ADANIGREEN,365,-113.76,65.78,"RECLTD, GRINFRA"
ADANIPORTS,30,381.86,67.21,"ABCAPITAL, TATAINVEST"
ADANIPORTS,180,371.24,62.43,"ABCAPITAL, TATAINVEST"
ADANIPORTS,365,347.39,59.43,"ABCAPITAL, TATAINVEST"
ADANIPOWER,30,283.79,0.0,"IGL, JSWENERGY"
ADANIPOWER,180,308.93,0.0,"IGL, JSWENERGY"
ADANIPOWER,365,390.37,27.61,"IGL, JSWENERGY"
AEGISLOG,30,208.3,42.26,"KIRLOSBROS, KIRLOSENG"
AEGISLOG,180,232.77,28.78,"KIRLOSBROS, KIRLOSENG"
AEGISLOG,365,165.71,50.43,"KIRLOSBROS, KIRLOSENG"
AFFLE,30,1979.04,0.0,"CRAFTSMAN, HAPPSTMNDS"
AFFLE,180,2156.87,0.0,"CRAFTSMAN, HAPPSTMNDS"
AFFLE,365,2332.14,0.0,"CRAFTSMAN, HAPPSTMNDS"
AIAENG,30,2110.56,0.0,"HINDUNILVR, PIIND"
AIAENG,180,1926.18,8.78,"HINDUNILVR, PIIND"
AIAENG,365,1991.56,0.0,"HINDUNILVR, PIIND"
AJANTPHARM,30,596.17,67.52,"FINEORG, BASF"
AJANTPHARM,180,530.7,71.01,"FINEORG, BASF"
AJANTPHARM,365,491.26,66.71,"FINEORG, BASF"
AKUMS,30,550.94,20.94,"AARTIIND, ATUL"
AKUMS,180,566.56,0.0,"AARTIIND, ATUL"
AKUMS,365,543.79,0.0,"AARTIIND, ATUL"
ALKEM,30,1991.56,73.08,"BASF, NAVINFLUOR"
ALKEM,180,2112.09,60.2,"BASF, NAVINFLUOR"
ALKEM,365,2041.99,55.98,"BASF, NAVINFLUOR"
ALKYLAMINE,30,1096.6,47.6,"SUMICHEM, CHEMPLASTS"
ALKYLAMINE,180,958.06,49.86,"SUMICHEM, CHEMPLASTS"
ALKYLAMINE,365,1050.59,39.72,"SUMICHEM, CHEMPLASTS"
ALOKINDS,30,16.67,33.59,"CELLO, PTCIL"
ALOKINDS,180,14.39,57.96,"CELLO, PTCIL"
ALOKINDS,365,13.81,64.44,"CELLO, PTCIL"
AMBER,30,3757.8,59.42,"BRIGADE, PRESTIGE"
AMBER,180,4019.81,59.68,"BRIGADE, PRESTIGE"
AMBER,365,4239.13,59.5,"BRIGADE, PRESTIGE"
AMBUJACEM,30,450.76,19.47,"ADANIPORTS, GPPL"
AMBUJACEM,180,506.07,62.63,"ADANIPORTS, GPPL"
AMBUJACEM,365,536.49,62.68,"ADANIPORTS, GPPL"
ANANDRATHI,30,2239.65,0.0,"ACE, BEML"
ANANDRATHI,180,2916.05,0.0,"ACE, BEML"
ANANDRATHI,365,3300.17,0.0,"ACE, BEML"
