Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%
360ONE,30,1663.14,50.92
360ONE,180,1725.25,56.28
360ONE,365,1839.65,51.62
3MINDIA,30,35950.89,61.16
3MINDIA,180,36386.23,60.47
3MINDIA,365,38971.45,63.56
AARTIIND,30,1610.96,59.17
AARTIIND,180,1720.07,60.56
AARTIIND,365,1707.33,48.18
AAVAS,30,1971.47,48.71
AAVAS,180,1992.41,47.4
AAVAS,365,2022.28,51.2
ABB,30,7210.57,53.55
ABB,180,8213.96,61.75
ABB,365,8287.54,55.45
ABCAPITAL,30,120.17,55.48
ABCAPITAL,180,121.78,37.89
ABCAPITAL,365,125.22,0.0
ABFRL,30,399.47,60.5
ABFRL,180,398.99,46.69
ABFRL,365,438.76,58.55
ABREL,30,2452.05,48.06
ABREL,180,2665.51,59.13
ABREL,365,2838.6,45.78
ABSLAMC,30,722.33,51.9
ABSLAMC,180,761.0,48.7
ABSLAMC,365,880.16,61.81
ACC,30,1897.3,0.0
ACC,180,1921.53,4.72
ACC,365,1942.82,12.43
ACE,30,1042.03,45.04
ACE,180,1318.6,58.64
ACE,365,1409.26,57.66
ACI,30,726.35,61.16
ACI,180,767.8,54.17
ACI,365,821.05,65.41
ADANIENSOL,30,2575.43,44.37
ADANIENSOL,180,2837.44,50.76
ADANIENSOL,365,3225.37,60.26
ADANIENT,30,3319.95,54.82
ADANIENT,180,3538.85,55.43
ADANIENT,365,4190.44,61.27
ADANIGREEN,30,2412.98,54.26
ADANIGREEN,180,2520.72,53.2
ADANIGREEN,365,2758.72,53.73
ADANIPORTS,30,591.23,83.76
ADANIPORTS,180,621.56,54.02
ADANIPORTS,365,643.04,46.78
ADANIPOWER,30,224.09,22.62
ADANIPOWER,180,237.91,31.0
ADANIPOWER,365,246.19,30.87
AEGISLOG,30,418.99,49.44
AEGISLOG,180,444.33,37.09
AEGISLOG,365,517.64,53.44
AFFLE,30,3476.99,55.08
AFFLE,180,3869.62,51.2
AFFLE,365,4271.99,49.01
AIAENG,30,3224.03,59.17
AIAENG,180,3407.64,53.75
AIAENG,365,3641.6,53.25
AJANTPHARM,30,3124.0,61.75
AJANTPHARM,180,3108.73,59.95
AJANTPHARM,365,3275.63,54.73
AKUMS,30,604.69,28.5
AKUMS,180,684.21,56.92
AKUMS,365,765.53,53.21
ALKEM,30,2490.66,58.84
ALKEM,180,2550.4,65.42
ALKEM,365,2758.33,41.6
ALKYLAMINE,30,5095.86,54.26
ALKYLAMINE,180,5319.88,49.8
ALKYLAMINE,365,6142.34,61.33
ALOKINDS,30,31.3,57.77
ALOKINDS,180,29.45,51.61
ALOKINDS,365,28.32,51.3
AMBER,30,5800.45,56.01
AMBER,180,6018.28,55.62
AMBER,365,6534.12,56.68
AMBUJACEM,30,761.19,66.41
AMBUJACEM,180,799.93,64.19
AMBUJACEM,365,832.83,65.71
ANANDRATHI,30,4807.38,61.86
ANANDRATHI,180,5497.62,59.3
ANANDRATHI,365,6161.67,58.68
ANANTRAJ,30,410.79,47.99
ANANTRAJ,180,491.36,58.79
ANANTRAJ,365,570.66,61.18
ANGELONE,30,2160.2,40.66
ANGELONE,180,2168.24,44.65
ANGELONE,365,2182.82,29.64
APARINDS,30,6708.38,55.88
APARINDS,180,7483.49,58.89
APARINDS,365,8646.21,58.6
APLLTD,30,950.89,49.06
APLLTD,180,1021.52,59.96
APLLTD,365,1054.81,52.76
APOLLOHOSP,30,7917.69,60.6
APOLLOHOSP,180,8173.6,64.08
APOLLOHOSP,365,8473.7,53.46
APOLLOTYRE,30,216.15,61.34
APOLLOTYRE,180,221.24,61.9
APOLLOTYRE,365,230.27,62.88
APTUS,30,366.65,54.89
APTUS,180,375.26,55.03
APTUS,365,393.28,62.65
ARE&M,30,1117.04,56.04
ARE&M,180,1160.1,43.43
ARE&M,365,1255.79,48.95
ASAHIINDIA,30,739.2,63.01
ASAHIINDIA,180,728.54,56.61
ASAHIINDIA,365,774.69,54.53
ASHOKLEY,30,191.18,60.89
ASHOKLEY,180,198.68,56.89
ASHOKLEY,365,217.23,66.09
ASIANPAINT,30,2767.77,63.44
ASIANPAINT,180,2771.76,57.78
ASIANPAINT,365,2783.92,62.15
ASTERDM,30,438.69,65.03
ASTERDM,180,422.88,47.93
ASTERDM,365,479.44,63.55
ASTRAL,30,2265.88,64.92
ASTRAL,180,2361.39,57.97
ASTRAL,365,2526.24,59.39
ATGL,30,1383.92,45.68
ATGL,180,1390.13,38.32
ATGL,365,1433.88,43.5
ATUL,30,10216.53,49.22
ATUL,180,10157.2,44.74
ATUL,365,10440.56,39.72
AUROPHARMA,30,879.11,46.42
AUROPHARMA,180,868.23,30.43
AUROPHARMA,365,881.69,26.77
AVANTIFEED,30,1186.81,51.65
AVANTIFEED,180,1298.62,56.13
AVANTIFEED,365,1353.31,55.49
AWL,30,710.36,52.52
AWL,180,793.34,56.15
AWL,365,830.33,48.58
AXISBANK,30,1362.37,66.9
AXISBANK,180,1351.03,57.65
AXISBANK,365,1409.29,55.3
BAJAJ-AUTO,30,12223.15,54.66
BAJAJ-AUTO,180,12884.69,54.9
BAJAJ-AUTO,365,13980.04,61.21
BAJAJFINSV,30,12357.04,69.33
BAJAJFINSV,180,12891.9,58.23
BAJAJFINSV,365,14514.16,64.66
BAJAJHLDNG,30,9227.11,55.22
BAJAJHLDNG,180,9390.48,49.42
BAJAJHLDNG,365,9997.76,54.78
BAJFINANCE,30,11482.87,57.96
BAJFINANCE,180,11244.53,53.15
BAJFINANCE,365,12467.27,58.32
BALAMINES,30,3828.46,47.92
BALAMINES,180,4197.13,47.75
BALAMINES,365,4697.32,57.06
BALKRISIND,30,1836.24,0.0
BALKRISIND,180,1860.7,0.0
BALKRISIND,365,1917.05,18.66
BALRAMCHIN,30,594.73,56.27
BALRAMCHIN,180,637.17,59.88
BALRAMCHIN,365,647.86,46.61
BANKBARODA,30,245.4,55.39
BANKBARODA,180,255.07,54.43
BANKBARODA,365,268.35,56.43
BANKINDIA,30,121.74,52.33
BANKINDIA,180,128.87,49.05
BANKINDIA,365,137.61,62.11
BASF,30,6871.51,55.75
BASF,180,7134.47,55.08
BASF,365,7608.84,55.74
BATAINDIA,30,1880.01,49.16
BATAINDIA,180,1913.16,50.92
BATAINDIA,365,2017.6,57.68
BBTC,30,2084.63,52.42
BBTC,180,2190.76,55.46
BBTC,365,2266.3,60.14
BEL,30,233.04,54.91
BEL,180,258.36,59.58
BEL,365,265.8,53.36
BEML,30,3638.84,57.97
BEML,180,3842.14,46.72
BEML,365,4042.74,57.43
BERGEPAINT,30,729.82,53.35
BERGEPAINT,180,785.26,65.76
BERGEPAINT,365,773.2,41.66
BHARATFORG,30,546.73,66.84
BHARATFORG,180,571.41,61.02
BHARATFORG,365,606.8,59.53
BHARTIARTL,30,669.47,54.45
BHARTIARTL,180,687.68,37.71
BHARTIARTL,365,717.13,0.0
BHEL,30,266.0,57.59
BHEL,180,277.56,50.19
BHEL,365,278.31,54.36
BIKAJI,30,513.66,60.67
BIKAJI,180,548.22,31.15
BIKAJI,365,593.16,0.0
BIOCON,30,405.35,57.19
BIOCON,180,409.5,47.82
BIOCON,365,415.93,49.5
BIRLACORPN,30,1154.68,49.82
BIRLACORPN,180,1165.37,53.98
BIRLACORPN,365,1187.07,57.78
BLS,30,229.83,51.7
BLS,180,234.32,45.73
BLS,365,243.71,54.31
BLUEDART,30,8901.27,53.58
BLUEDART,180,9478.7,59.26
BLUEDART,365,9823.82,49.08
BLUESTARCO,30,1544.66,57.71
BLUESTARCO,180,1621.0,50.0
BLUESTARCO,365,1634.44,36.67
BOSCHLTD,30,35279.14,56.99
BOSCHLTD,180,36988.94,60.42
BOSCHLTD,365,37260.33,58.26
BPCL,30,362.83,50.07
BPCL,180,364.09,64.95
BPCL,365,372.02,39.66
BRIGADE,30,1273.6,51.32
BRIGADE,180,1421.89,60.25
BRIGADE,365,1638.83,69.87
BRITANNIA,30,5347.29,55.26
BRITANNIA,180,5524.91,53.21
BRITANNIA,365,5757.46,64.29
BSE,30,3865.93,58.77
BSE,180,4221.19,54.95
BSE,365,4549.32,57.39
BSOFT,30,529.94,51.81
BSOFT,180,584.19,57.45
BSOFT,365,615.46,51.85
CAMPUS,30,325.38,28.6
CAMPUS,180,336.24,0.0
CAMPUS,365,355.75,26.13
CAMS,30,4097.99,49.0
CAMS,180,4590.06,62.45
CAMS,365,5000.77,60.57
CANBK,30,472.37,55.32
CANBK,180,468.44,46.28
CANBK,365,551.22,64.6
CAPLIPOINT,30,1965.5,57.94
CAPLIPOINT,180,1986.11,56.35
CAPLIPOINT,365,2244.09,63.66
CARBORUNIV,30,1625.04,63.81
CARBORUNIV,180,1670.12,61.88
CARBORUNIV,365,1572.05,50.39
CCL,30,479.96,41.2
CCL,180,506.75,34.98
CCL,365,565.65,51.55
CDSL,30,1956.93,52.76
CDSL,180,2200.76,60.5
CDSL,365,2262.29,60.91
CEATLTD,30,3082.77,59.05
CEATLTD,180,3122.83,50.37
CEATLTD,365,3443.94,61.93
CELLO,30,929.22,45.95
CELLO,180,1049.71,54.43
CELLO,365,1201.08,48.82
CENTRALBK,30,60.11,58.54
CENTRALBK,180,61.18,52.22
CENTRALBK,365,69.11,54.92
CENTURYPLY,30,966.78,57.46
CENTURYPLY,180,1033.32,58.94
CENTURYPLY,365,1004.22,51.66
CERA,30,7015.17,57.91
CERA,180,6929.13,57.58
CERA,365,7060.63,61.51
CGCL,30,306.53,59.21
CGCL,180,323.56,52.78
CGCL,365,339.42,57.52
CGPOWER,30,792.7,58.45
CGPOWER,180,904.15,60.53
CGPOWER,365,900.19,52.83
CHALET,30,743.54,49.87
CHALET,180,821.43,58.34
CHALET,365,842.51,44.38
CHAMBLFERT,30,538.9,57.41
CHAMBLFERT,180,584.44,62.22
CHAMBLFERT,365,584.39,54.73
CHEMPLASTS,30,568.09,52.12
CHEMPLASTS,180,603.08,55.25
CHEMPLASTS,365,645.83,61.1
CHENNPETRO,30,727.01,60.02
CHENNPETRO,180,673.68,40.15
CHENNPETRO,365,821.45,54.72
CHOLAHLDNG,30,734.6,0.0
CHOLAHLDNG,180,751.56,0.0
CHOLAHLDNG,365,776.16,4.02
CIEINDIA,30,350.34,55.62
CIEINDIA,180,356.57,57.01
CIEINDIA,365,351.98,53.91
CLEAN,30,2187.2,67.39
CLEAN,180,2273.87,58.63
CLEAN,365,2446.43,64.29
COALINDIA,30,382.68,53.37
COALINDIA,180,412.87,67.15
COALINDIA,365,434.94,63.64
COCHINSHIP,30,1849.92,58.23
COCHINSHIP,180,1972.55,55.72
COCHINSHIP,365,1976.0,51.33
COFORGE,30,4967.29,53.06
COFORGE,180,5556.83,55.52
COFORGE,365,6055.64,56.25
CONCOR,30,715.09,44.53
CONCOR,180,727.63,51.44
CONCOR,365,735.22,51.46
CONCORDBIO,30,2231.24,56.65
CONCORDBIO,180,2553.63,63.57
CONCORDBIO,365,2869.27,54.32
COROMANDEL,30,1658.78,51.19
COROMANDEL,180,1731.47,55.89
COROMANDEL,365,1858.41,57.25
CRAFTSMAN,30,5489.31,50.23
CRAFTSMAN,180,6056.45,59.35
CRAFTSMAN,365,6456.06,58.29
CREDITACC,30,1570.01,64.67
CREDITACC,180,1609.79,59.96
CREDITACC,365,1590.25,52.77
CRISIL,30,4117.2,51.12
CRISIL,180,4579.1,58.91
CRISIL,365,4917.08,56.86
CROMPTON,30,364.84,49.59
CROMPTON,180,367.55,50.86
CROMPTON,365,373.27,54.63
