Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%
360ONE,30,1345.91,57.94
360ONE,180,1369.65,52.94
360ONE,365,1429.12,46.89
3MINDIA,30,34079.24,63.82
3MINDIA,180,34740.24,58.78
3MINDIA,365,35482.12,58.19
AARTIIND,30,1486.09,58.91
AARTIIND,180,1570.79,60.76
AARTIIND,365,1601.46,57.82
AAVAS,30,1796.53,0.0
AAVAS,180,1801.66,0.0
AAVAS,365,1785.8,0.0
ABB,30,4512.33,52.56
ABB,180,4437.63,35.01
ABB,365,4546.96,46.89
ABCAPITAL,30,147.57,70.89
ABCAPITAL,180,147.6,72.4
ABCAPITAL,365,151.24,73.65
ABFRL,30,293.64,56.75
ABFRL,180,295.73,70.17
ABFRL,365,289.95,70.54
ABREL,30,1509.0,61.73
ABREL,180,1568.41,75.31
ABREL,365,1465.23,64.58
ABSLAMC,30,797.35,66.72
ABSLAMC,180,812.66,66.11
ABSLAMC,365,861.46,56.69
ACC,30,1839.99,4.77
ACC,180,1830.12,31.14
ACC,365,1835.97,0.0
ACE,30,678.03,51.71
ACE,180,706.1,57.26
ACE,365,667.1,41.32
ACI,30,675.28,49.14
ACI,180,704.56,53.5
ACI,365,719.97,46.15
ADANIENSOL,30,2292.04,61.95
ADANIENSOL,180,2282.26,51.25
ADANIENSOL,365,2441.77,53.84
ADANIENT,30,1789.94,64.45
ADANIENT,180,1798.79,71.36
ADANIENT,365,1720.63,47.05
ADANIGREEN,30,1692.97,61.36
ADANIGREEN,180,1651.77,54.11
ADANIGREEN,365,1659.41,55.93
ADANIPORTS,30,591.99,32.45
ADANIPORTS,180,596.39,14.59
ADANIPORTS,365,599.26,11.5
ADANIPOWER,30,133.14,44.12
ADANIPOWER,180,140.91,27.16
ADANIPOWER,365,131.89,41.93
AEGISLOG,30,521.14,67.92
AEGISLOG,180,517.04,59.97
AEGISLOG,365,554.84,60.82
AFFLE,30,2184.38,56.03
AFFLE,180,2136.51,48.22
AFFLE,365,2186.55,48.93
AIAENG,30,3290.48,68.05
AIAENG,180,3463.76,70.0
AIAENG,365,3475.19,62.5
AJANTPHARM,30,2107.67,72.83
AJANTPHARM,180,2073.11,73.91
AJANTPHARM,365,2022.61,68.67
AKUMS,30,584.46,20.53
AKUMS,180,590.11,0.0
AKUMS,365,593.0,0.0
ALKEM,30,2745.33,39.97
ALKEM,180,2738.33,49.45
ALKEM,365,2804.65,24.26
ALKYLAMINE,30,5000.75,63.79
ALKYLAMINE,180,4796.69,60.3
ALKYLAMINE,365,4967.69,60.8
ALOKINDS,30,36.24,68.13
ALOKINDS,180,34.59,60.32
ALOKINDS,365,36.14,65.2
AMBER,30,4248.91,63.21
AMBER,180,4124.09,55.85
AMBER,365,3976.03,39.71
AMBUJACEM,30,422.27,64.96
AMBUJACEM,180,417.89,68.69
AMBUJACEM,365,414.77,66.5
ANANDRATHI,30,3419.98,65.33
ANANDRATHI,180,3378.32,59.56
ANANDRATHI,365,3288.35,49.85
ANANTRAJ,30,442.77,70.4
ANANTRAJ,180,482.33,70.77
ANANTRAJ,365,508.6,66.3
ANGELONE,30,2332.21,62.86
ANGELONE,180,2390.01,68.67
ANGELONE,365,2362.28,62.18
APARINDS,30,2716.86,28.54
APARINDS,180,2672.34,4.53
APARINDS,365,2541.76,0.0
APLLTD,30,899.99,68.32
APLLTD,180,939.16,68.55
APLLTD,365,960.53,62.31
APOLLOHOSP,30,3173.79,0.0
APOLLOHOSP,180,3001.49,39.37
APOLLOHOSP,365,3180.32,0.0
APOLLOTYRE,30,245.24,30.28
APOLLOTYRE,180,248.53,3.51
APOLLOTYRE,365,233.89,55.02
APTUS,30,340.32,56.4
APTUS,180,351.03,63.11
APTUS,365,357.0,52.5
ARE&M,30,1056.61,56.84
ARE&M,180,1123.28,61.16
ARE&M,365,1184.66,64.4
ASAHIINDIA,30,430.18,42.7
ASAHIINDIA,180,433.19,38.53
ASAHIINDIA,365,439.69,42.71
ASHOKLEY,30,196.74,66.3
ASHOKLEY,180,206.85,67.68
ASHOKLEY,365,215.8,69.01
ASIANPAINT,30,2646.98,79.1
ASIANPAINT,180,2631.84,81.42
ASIANPAINT,365,2610.01,81.99
ASTERDM,30,243.87,48.07
ASTERDM,180,243.3,44.55
ASTERDM,365,246.99,41.7
ASTRAL,30,2075.9,65.78
ASTRAL,180,2148.27,69.48
ASTRAL,365,2205.69,58.84
