Date,BookValue,Ticker
2019-10-21,88.05,360ONE
2020-01-22,87.8,360ONE
2020-03-31,87.8,360ONE
2020-06-11,85.77,360ONE
2020-08-14,85.77,360ONE
2020-09-15,85.77,360ONE
2020-09-30,81.62,360ONE
2020-10-28,81.48,360ONE
2021-02-02,81.2,360ONE
2021-03-31,85.77,360ONE
2021-05-18,85.77,360ONE
2021-08-03,85.77,360ONE
2021-08-25,80.43,360ONE
2021-09-30,80.41,360ONE
2021-10-27,79.95,360ONE
2022-02-02,79.77,360ONE
2022-03-31,80.43,360ONE
2022-05-04,80.43,360ONE
2022-07-25,80.43,360ONE
2022-09-10,85.22,360ONE
2022-09-30,85.58,360ONE
2022-10-19,85.48,360ONE
2023-01-19,85.34,360ONE
2023-03-31,85.72,360ONE
2023-05-04,85.72,360ONE
2023-07-20,85.72,360ONE
2023-07-31,87.67,360ONE
2023-09-30,91.46,360ONE
2023-11-02,91.39,360ONE
2024-01-18,91.09,360ONE
2024-03-31,87.68,360ONE
2024-04-23,87.68,360ONE
2024-06-20,96.13,360ONE
2024-07-30,96.13,360ONE
2024-09-30,107.7,360ONE
2024-10-21,107.16,360ONE
2025-01-27,100.65,360ONE
2019-05-28,1271.93,3MINDIA
2019-07-16,1271.93,3MINDIA
2019-08-13,1271.93,3MINDIA
2019-09-30,1440.67,3MINDIA
2019-11-13,1440.67,3MINDIA
2020-02-11,1440.67,3MINDIA
2020-03-31,1271.93,3MINDIA
2020-05-29,1271.93,3MINDIA
2020-07-22,1554.25,3MINDIA
2020-08-13,1554.25,3MINDIA
2020-09-30,1581.28,3MINDIA
2020-11-13,1581.28,3MINDIA
2021-02-10,1581.28,3MINDIA
2021-03-31,1554.25,3MINDIA
2021-05-28,1554.25,3MINDIA
2021-07-27,1695.79,3MINDIA
2021-08-12,1695.79,3MINDIA
2021-09-30,1778.23,3MINDIA
2021-11-12,1778.23,3MINDIA
2022-02-03,1778.23,3MINDIA
2022-03-31,1695.79,3MINDIA
2022-05-27,1695.79,3MINDIA
2022-07-29,1938.36,3MINDIA
2022-08-10,1938.36,3MINDIA
2022-09-30,2108.02,3MINDIA
2022-11-09,2108.02,3MINDIA
2023-02-08,2108.02,3MINDIA
2023-03-31,1938.36,3MINDIA
2023-05-30,1938.36,3MINDIA
2023-08-02,1489.09,3MINDIA
2023-08-10,1489.09,3MINDIA
2023-09-30,1633.68,3MINDIA
2023-11-10,1633.68,3MINDIA
2024-02-08,1633.68,3MINDIA
2024-03-31,1489.09,3MINDIA
2024-05-28,1489.09,3MINDIA
2024-07-16,1905.81,3MINDIA
2024-08-06,1905.81,3MINDIA
2024-09-30,137.68,AADHARHFC
2024-11-06,136.61,AADHARHFC
2025-02-06,136.35,AADHARHFC
2010-08-21,14.81,AARTIIND
2011-03-31,14.81,AARTIIND
2011-09-22,16.59,AARTIIND
2012-03-31,16.63,AARTIIND
2012-07-30,18.65,AARTIIND
2013-03-31,18.65,AARTIIND
2013-08-29,23.9,AARTIIND
2014-03-31,24.05,AARTIIND
2014-09-01,24.57,AARTIIND
2015-03-31,24.57,AARTIIND
2015-07-03,28.68,AARTIIND
2016-03-31,28.61,AARTIIND
2016-09-07,34.13,AARTIIND
2017-03-31,34.11,AARTIIND
2017-09-05,41.49,AARTIIND
2018-03-31,41.48,AARTIIND
2018-06-30,41.48,AARTIIND
2018-08-28,48.54,AARTIIND
2018-11-01,48.54,AARTIIND
2018-12-31,48.54,AARTIIND
2019-03-31,48.62,AARTIIND
2019-05-21,48.62,AARTIIND
2019-08-13,48.62,AARTIIND
2019-08-24,75.86,AARTIIND
2019-09-30,81.89,AARTIIND
2019-11-13,81.51,AARTIIND
2020-02-12,81.51,AARTIIND
2020-03-31,77.12,AARTIIND
2020-05-25,77.12,AARTIIND
2020-08-12,77.12,AARTIIND
2020-08-28,85.5,AARTIIND
2020-09-30,92.15,AARTIIND
2020-11-10,92.15,AARTIIND
2021-01-28,92.15,AARTIIND
2021-03-31,85.5,AARTIIND
2021-05-18,85.5,AARTIIND
2021-08-06,85.5,AARTIIND
2021-09-06,100.54,AARTIIND
2021-09-30,137.87,AARTIIND
2021-10-30,137.87,AARTIIND
2022-02-05,137.87,AARTIIND
2022-03-31,103.24,AARTIIND
2022-05-27,103.24,AARTIIND
2022-08-10,103.24,AARTIIND
2022-09-06,124.58,AARTIIND
2022-09-30,129.34,AARTIIND
2022-11-14,129.34,AARTIIND
2023-02-03,129.34,AARTIIND
2023-03-31,124.58,AARTIIND
2023-05-08,124.58,AARTIIND
2023-07-13,135.73,AARTIIND
2023-08-08,135.73,AARTIIND
2023-09-30,138.73,AARTIIND
2023-11-04,138.73,AARTIIND
2024-02-08,138.73,AARTIIND
2024-03-31,135.73,AARTIIND
2024-05-10,135.73,AARTIIND
2024-07-11,145.92,AARTIIND
2024-08-09,145.92,AARTIIND
2024-09-30,150.15,AARTIIND
2024-11-08,150.14,AARTIIND
2025-02-01,150.14,AARTIIND
2019-05-03,235.19,AAVAS
2019-07-05,235.19,AAVAS
2019-08-01,235.19,AAVAS
2019-09-30,251.21,AAVAS
2019-10-25,251.02,AAVAS
2020-01-24,250.59,AAVAS
2020-03-31,235.22,AAVAS
2020-05-14,235.22,AAVAS
2020-07-04,267.86,AAVAS
2020-08-12,267.86,AAVAS
2020-09-30,283.59,AAVAS
2020-10-29,283.38,AAVAS
2021-01-21,283.36,AAVAS
2021-03-31,267.88,AAVAS
2021-04-29,267.88,AAVAS
2021-07-19,305.82,AAVAS
2021-07-29,305.82,AAVAS
2021-09-30,327.13,AAVAS
2021-10-28,325.47,AAVAS
2022-02-03,325.39,AAVAS
2022-03-31,305.87,AAVAS
2022-05-05,305.87,AAVAS
2022-06-28,355.53,AAVAS
2022-07-28,355.53,AAVAS
2022-09-30,383.59,AAVAS
2022-10-20,383.27,AAVAS
2023-02-02,383.21,AAVAS
2023-03-31,355.55,AAVAS
2023-05-03,355.55,AAVAS
2023-06-27,413.68,AAVAS
2023-08-03,413.68,AAVAS
2023-09-30,444.28,AAVAS
2023-10-26,444.06,AAVAS
2024-02-01,444.0,AAVAS
2024-03-31,413.69,AAVAS
2024-04-25,413.69,AAVAS
2024-07-15,476.79,AAVAS
2012-04-12,119.61,ABB
2012-12-31,119.61,ABB
2013-04-10,122.78,ABB
2019-03-31,122.78,ABB
2019-06-30,195.65,ABB
2019-07-26,195.65,ABB
2019-11-13,195.65,ABB
2022-05-04,195.65,ABB
2022-06-30,196.87,ABB
2022-08-09,196.87,ABB
2017-11-07,37.41,ABCAPITAL
