Date,Dollar-INR
2025-03-07,87.1
2025-03-06,87.011
2025-03-05,86.88
2025-03-04,87.255
2025-03-03,87.26
2025-02-28,87.466
2025-02-27,87.33
2025-02-26,87.113
2025-02-25,87.13
2025-02-24,86.66
2025-02-21,86.572
2025-02-20,86.561
2025-02-19,86.89
2025-02-18,86.867
2025-02-17,86.809
2025-02-14,86.62
2025-02-13,86.69
2025-02-12,86.9
2025-02-11,86.789
2025-02-10,87.469
2025-02-07,87.627
2025-02-06,87.58
2025-02-05,87.336
2025-02-04,87.07
2025-02-03,86.96
2025-01-31,86.536
2025-01-30,86.545
2025-01-29,86.63
2025-01-28,86.584
2025-01-27,86.35
2025-01-24,86.2
2025-01-23,86.43
2025-01-22,86.45
2025-01-21,86.452
2025-01-20,86.209
2025-01-17,86.571
2025-01-16,86.57
2025-01-15,86.38
2025-01-14,86.525
2025-01-13,86.646
2025-01-10,86.165
2025-01-09,85.89
2025-01-08,85.917
2025-01-07,85.803
2025-01-06,85.7
2025-01-03,85.761
2025-01-02,85.76
2025-01-01,85.645
2024-12-31,85.554
2024-12-30,85.474
2024-12-27,85.388
2024-12-26,85.254
2024-12-25,85.198
2024-12-24,85.176
2024-12-23,85.095
2024-12-20,84.947
2024-12-19,85.088
2024-12-18,84.867
2024-12-17,84.902
2024-12-16,84.89
2024-12-13,84.782
2024-12-12,84.825
2024-12-11,84.795
2024-12-10,84.88
2024-12-09,84.829
2024-12-06,84.668
2024-12-05,84.684
2024-12-04,84.693
2024-12-03,84.676
2024-12-02,84.74
2024-11-29,84.559
2024-11-28,84.445
2024-11-27,84.41
2024-11-26,84.319
2024-11-25,84.26
2024-11-22,84.426
2024-11-21,84.495
2024-11-20,84.36
2024-11-19,84.39
2024-11-18,84.398
2024-11-15,84.424
2024-11-14,84.461
2024-11-13,84.416
2024-11-12,84.38
2024-11-11,84.379
2024-11-08,84.395
2024-11-07,84.293
2024-11-06,84.31
2024-11-05,84.109
2024-11-04,84.13
2024-11-01,84.08
2024-10-31,84.061
2024-10-30,84.08
2024-10-29,84.05
2024-10-28,84.06
2024-10-25,84.095
2024-10-24,84.05
2024-10-23,84.056
2024-10-22,84.07
2024-10-21,84.07
2024-10-18,84.065
2024-10-17,84.035
2024-10-16,84.03
2024-10-15,84.04
2024-10-14,84.045
2024-10-11,84.101
2024-10-10,83.94
2024-10-09,83.95
2024-10-08,83.945
2024-10-07,83.98
2024-10-04,84.023
2024-10-03,83.99
2024-10-02,83.92
2024-10-01,83.9
2024-09-30,83.755
2024-09-27,83.71
2024-09-26,83.601
2024-09-25,83.6
2024-09-24,83.6
2024-09-23,83.53
2024-09-20,83.485
2024-09-19,83.62
2024-09-18,83.65
2024-09-17,83.747
2024-09-16,83.84
2024-09-13,83.88
2024-09-12,83.92
2024-09-11,83.96
2024-09-10,83.949
2024-09-09,83.928
2024-09-06,83.985
2024-09-05,83.961
2024-09-04,83.96
2024-09-03,83.95
2024-09-02,83.88
2024-08-30,83.867
2024-08-29,83.88
2024-08-28,83.9
2024-08-27,83.91
2024-08-26,83.84
2024-08-23,83.809
2024-08-22,83.93
2024-08-21,83.87
2024-08-20,83.75
2024-08-19,83.85
2024-08-16,83.88
2024-08-15,83.94
2024-08-14,83.96
2024-08-13,83.91
2024-08-12,83.93
2024-08-09,83.945
2024-08-08,83.99
2024-08-07,83.885
2024-08-06,83.93
2024-08-05,84.018
2024-08-02,83.794
2024-08-01,83.71
2024-07-31,83.699
2024-07-30,83.72
2024-07-29,83.748
2024-07-26,83.703
2024-07-25,83.72
2024-07-24,83.71
2024-07-23,83.676
2024-07-22,83.651
2024-07-19,83.724
2024-07-18,83.58
2024-07-17,83.58
2024-07-16,83.524
2024-07-15,83.551
2024-07-12,83.513
2024-07-11,83.507
2024-07-10,83.51
2024-07-09,83.465
2024-07-08,83.5
2024-07-05,83.5
2024-07-04,83.475
2024-07-03,83.52
2024-07-02,83.5
2024-07-01,83.438
2024-06-28,83.355
2024-06-27,83.438
2024-06-26,83.56
2024-06-25,83.403
2024-06-24,83.45
2024-06-21,83.558
