Date,EBITDA,Ticker
2019-09-30,940.87,360ONE
2019-10-03,940.87,360ONE
2019-10-21,878.24,360ONE
2020-01-22,887.72,360ONE
2020-03-31,887.72,360ONE
2020-06-11,829.02,360ONE
2020-08-14,840.82,360ONE
2020-09-15,840.82,360ONE
2020-09-30,840.82,360ONE
2020-10-28,860.42,360ONE
2021-02-02,870.17,360ONE
2021-03-31,870.17,360ONE
2021-05-18,941.44,360ONE
2021-08-03,967.85,360ONE
2021-08-25,967.85,360ONE
2021-09-30,967.85,360ONE
2021-10-27,1021.83,360ONE
2022-02-02,1081.99,360ONE
2022-03-31,1081.99,360ONE
2022-05-04,1162.88,360ONE
2022-07-25,1209.9,360ONE
2022-09-10,1209.9,360ONE
2022-09-30,1209.9,360ONE
2022-10-19,1258.94,360ONE
2023-01-19,1296.82,360ONE
2023-03-31,1296.82,360ONE
2023-05-04,1296.87,360ONE
2023-07-20,1358.46,360ONE
2023-07-31,1358.46,360ONE
2023-09-30,1358.46,360ONE
2023-11-02,1409.47,360ONE
2024-01-18,1483.98,360ONE
2024-03-31,1483.98,360ONE
2024-04-23,1709.51,360ONE
2024-06-20,1708.63,360ONE
2024-07-30,2011.47,360ONE
2024-09-30,2011.47,360ONE
2024-10-21,2193.75,360ONE
2025-01-27,2376.14,360ONE
2018-10-30,628.86,3MINDIA
2019-02-12,655.31,3MINDIA
2019-03-31,655.31,3MINDIA
2019-05-28,595.45,3MINDIA
2019-07-16,594.95,3MINDIA
2019-08-13,558.58,3MINDIA
2019-09-30,558.58,3MINDIA
2019-11-13,579.79,3MINDIA
2020-02-11,511.98,3MINDIA
2020-03-31,511.98,3MINDIA
2020-05-29,495.55,3MINDIA
2020-07-22,495.58,3MINDIA
2020-08-13,299.27,3MINDIA
2020-09-30,299.27,3MINDIA
2020-11-13,278.32,3MINDIA
2021-02-10,263.39,3MINDIA
2021-03-31,263.39,3MINDIA
2021-05-28,284.22,3MINDIA
2021-07-27,282.62,3MINDIA
2021-08-12,382.06,3MINDIA
2021-09-30,382.06,3MINDIA
2021-11-12,363.43,3MINDIA
2022-02-03,369.19,3MINDIA
2022-03-31,369.19,3MINDIA
2022-05-27,426.35,3MINDIA
2022-07-29,424.76,3MINDIA
2022-08-10,498.41,3MINDIA
2022-09-30,498.41,3MINDIA
2022-11-09,555.45,3MINDIA
2023-02-08,634.94,3MINDIA
2023-03-31,634.94,3MINDIA
2023-05-30,672.39,3MINDIA
2023-08-02,672.04,3MINDIA
2023-08-10,732.62,3MINDIA
2023-09-30,732.62,3MINDIA
2023-11-10,784.5,3MINDIA
2024-02-08,797.03,3MINDIA
2024-03-31,797.03,3MINDIA
2024-05-28,837.37,3MINDIA
2024-07-16,836.65,3MINDIA
2024-08-06,876.44,3MINDIA
2024-05-29,1511.84,AADHARHFC
2024-08-07,1511.84,AADHARHFC
2024-08-23,1967.6,AADHARHFC
2024-09-30,1967.6,AADHARHFC
2024-11-06,2167.27,AADHARHFC
2025-02-06,2261.45,AADHARHFC
2006-09-05,112.03,AARTIIND
2007-03-31,115.23,AARTIIND
2007-09-05,89.06,AARTIIND
2008-03-31,89.81,AARTIIND
2008-06-30,125.52,AARTIIND
2009-03-31,124.83,AARTIIND
2009-10-12,247.64,AARTIIND
2010-03-31,248.25,AARTIIND
2010-08-21,205.79,AARTIIND
2011-03-31,203.1,AARTIIND
2011-09-22,199.25,AARTIIND
2012-03-31,199.59,AARTIIND
2012-07-30,250.42,AARTIIND
2013-03-31,252.38,AARTIIND
2013-08-29,364.47,AARTIIND
2014-03-31,355.59,AARTIIND
2014-09-01,403.07,AARTIIND
2015-03-31,405.39,AARTIIND
2015-07-03,467.64,AARTIIND
2016-03-31,474.15,AARTIIND
2016-09-07,577.66,AARTIIND
2017-03-31,577.41,AARTIIND
2017-09-05,654.66,AARTIIND
2018-03-31,649.18,AARTIIND
2018-06-30,649.18,AARTIIND
2018-08-28,700.61,AARTIIND
2018-11-01,700.61,AARTIIND
2018-12-31,700.61,AARTIIND
2019-03-31,972.7,AARTIIND
2019-05-21,972.7,AARTIIND
2019-08-13,1024.46,AARTIIND
2019-08-24,1024.46,AARTIIND
2019-09-30,1024.46,AARTIIND
2019-11-13,1020.1,AARTIIND
2020-02-12,1017.52,AARTIIND
2020-03-31,1017.52,AARTIIND
2020-05-25,986.17,AARTIIND
2020-08-12,915.8,AARTIIND
2020-08-28,915.8,AARTIIND
2020-09-30,915.8,AARTIIND
2020-11-10,910.47,AARTIIND
2021-01-28,941.27,AARTIIND
2021-03-31,941.27,AARTIIND
2021-05-18,982.23,AARTIIND
2021-08-06,1113.88,AARTIIND
2021-09-06,1113.88,AARTIIND
2021-09-30,1113.88,AARTIIND
2021-10-30,1114.93,AARTIIND
2022-02-05,1719.43,AARTIIND
