Date,GPM,Ticker
2018-06-30,100.0,360ONE
2018-09-30,100.0,360ONE
2018-12-31,100.0,360ONE
2019-03-31,99.78,360ONE
2019-06-30,94.53,360ONE
2019-09-30,100.0,360ONE
2019-12-31,96.34,360ONE
2020-03-31,98.29,360ONE
2020-06-30,99.95,360ONE
2020-09-30,96.74,360ONE
2020-12-31,90.98,360ONE
2021-03-31,100.0,360ONE
2021-06-30,100.0,360ONE
2021-09-30,100.0,360ONE
2021-12-31,100.0,360ONE
2022-03-31,100.0,360ONE
2022-06-30,100.0,360ONE
2022-09-30,100.0,360ONE
2022-12-31,100.0,360ONE
2023-03-31,100.0,360ONE
2023-06-30,100.0,360ONE
2023-09-30,100.0,360ONE
2023-12-31,100.0,360ONE
2024-03-31,81.05,360ONE
2024-06-30,100.0,360ONE
2024-09-30,100.0,360ONE
2024-12-31,100.0,360ONE
2005-03-31,47.09,3MINDIA
2005-06-30,48.73,3MINDIA
2005-09-30,46.17,3MINDIA
2005-12-31,44.12,3MINDIA
2006-03-31,43.33,3MINDIA
2006-06-30,45.42,3MINDIA
2006-09-30,43.36,3MINDIA
2006-12-31,41.74,3MINDIA
2007-03-31,41.86,3MINDIA
2007-06-30,45.16,3MINDIA
2007-09-30,46.2,3MINDIA
2007-12-31,46.04,3MINDIA
2008-03-31,42.71,3MINDIA
2008-06-30,42.97,3MINDIA
2008-09-30,40.33,3MINDIA
2008-12-31,37.17,3MINDIA
2009-03-31,38.99,3MINDIA
2009-06-30,42.63,3MINDIA
2009-09-30,40.67,3MINDIA
2009-12-31,43.71,3MINDIA
2010-03-31,40.37,3MINDIA
2010-06-30,42.25,3MINDIA
2010-09-30,41.39,3MINDIA
2010-12-31,43.28,3MINDIA
2011-03-31,41.0,3MINDIA
2011-06-30,40.41,3MINDIA
2011-09-30,38.0,3MINDIA
2011-12-31,38.91,3MINDIA
2012-03-31,36.03,3MINDIA
2012-06-30,35.81,3MINDIA
2012-09-30,34.87,3MINDIA
2012-12-31,36.82,3MINDIA
2013-03-31,39.81,3MINDIA
2013-06-30,39.54,3MINDIA
2013-09-30,34.85,3MINDIA
2013-12-31,35.99,3MINDIA
2014-03-31,38.29,3MINDIA
2014-06-30,39.32,3MINDIA
2014-09-30,39.51,3MINDIA
2014-12-31,38.46,3MINDIA
2015-03-31,42.15,3MINDIA
2015-06-30,42.7,3MINDIA
2015-09-30,44.27,3MINDIA
2015-12-31,43.47,3MINDIA
2016-03-31,44.93,3MINDIA
2016-06-30,44.07,3MINDIA
2016-09-30,42.66,3MINDIA
2016-12-31,42.79,3MINDIA
2017-03-31,47.13,3MINDIA
2017-06-30,43.99,3MINDIA
2017-09-30,49.85,3MINDIA
2017-12-31,48.58,3MINDIA
