Date,IndianBondYieldRate
2025-03-07,6.68
2025-03-06,6.68
2025-03-06,6.68
2025-03-05,6.71
2025-03-05,6.71
2025-03-04,6.74
2025-03-04,6.74
2025-03-03,6.73
2025-03-03,6.73
2025-02-28,6.72
2025-02-28,6.72
2025-02-27,6.71
2025-02-27,6.71
2025-02-25,6.706
2025-02-25,6.706
2025-02-24,6.7
2025-02-24,6.7
2025-02-21,6.708
2025-02-21,6.708
2025-02-20,6.703
2025-02-20,6.703
2025-02-18,6.682
2025-02-18,6.682
2025-02-17,6.692
2025-02-14,6.705
2025-02-13,6.712
2025-02-12,6.697
2025-02-11,6.697
2025-02-10,6.713
2025-02-07,6.699
2025-02-06,6.657
2025-02-05,6.664
2025-02-04,6.672
2025-02-03,6.67
2025-01-31,6.694
2025-01-30,6.678
2025-01-29,6.683
2025-01-28,6.681
2025-01-27,6.675
2025-01-24,6.72
2025-01-23,6.736
2025-01-22,6.719
2025-01-21,6.734
2025-01-20,6.763
2025-01-17,6.774
2025-01-16,6.754
2025-01-15,6.813
2025-01-14,6.829
2025-01-13,6.843
2025-01-10,6.769
2025-01-09,6.764
2025-01-08,6.767
2025-01-07,6.746
2025-01-06,6.763
2025-01-03,6.779
2025-01-02,6.787
2025-01-01,6.779
2024-12-31,6.759
2024-12-30,6.775
2024-12-27,6.787
2024-12-26,6.784
2024-12-24,6.776
2024-12-23,6.776
2024-12-20,6.791
2024-12-19,6.787
2024-12-18,6.751
2024-12-17,6.759
2024-12-16,6.741
2024-12-13,6.729
2024-12-12,6.736
2024-12-11,6.718
2024-12-10,6.705
2024-12-09,6.717
2024-12-06,6.74
2024-12-05,6.68
2024-12-04,6.686
2024-12-03,6.714
2024-12-02,6.71
2024-11-29,6.751
2024-11-28,6.805
2024-11-27,6.812
2024-11-26,6.827
2024-11-25,6.822
2024-11-22,6.85
2024-11-21,6.831
2024-11-19,6.811
2024-11-18,6.821
2024-11-14,6.827
2024-11-13,6.804
2024-11-12,6.795
2024-11-11,6.785
2024-11-08,6.774
2024-11-07,6.796
2024-11-06,6.798
2024-11-05,6.799
2024-11-04,6.797
2024-10-31,6.841
2024-10-30,6.827
2024-10-29,6.847
2024-10-28,6.861
2024-10-25,6.845
2024-10-24,6.822
2024-10-23,6.818
2024-10-22,6.832
2024-10-21,6.837
2024-10-18,6.809
2024-10-17,6.784
2024-10-16,6.773
2024-10-15,6.769
2024-10-14,6.782
2024-10-11,6.788
2024-10-10,6.776
2024-10-09,6.766
2024-10-08,6.806
2024-10-07,6.846
2024-10-04,6.829
2024-10-03,6.777
2024-10-01,6.732
2024-09-30,6.75
2024-09-27,6.759
2024-09-26,6.718
2024-09-25,6.738
2024-09-24,6.761
2024-09-23,6.767
2024-09-20,6.761
2024-09-19,6.758
2024-09-17,6.779
2024-09-16,6.762
2024-09-13,6.792
2024-09-12,6.811
2024-09-11,6.83
2024-09-10,6.851
2024-09-09,6.854
2024-09-06,6.854
2024-09-05,6.855
2024-09-04,6.859
2024-09-03,6.87
2024-09-02,6.876
2024-08-30,6.863
2024-08-29,6.864
2024-08-28,6.861
2024-08-27,6.861
2024-08-26,6.851
2024-08-23,6.859
2024-08-22,6.852
2024-08-21,6.853
2024-08-20,6.856
2024-08-19,6.864
2024-08-16,6.867
2024-08-14,6.858
2024-08-13,6.88
2024-08-12,6.879
2024-08-09,6.88
2024-08-08,6.877
2024-08-07,6.862
2024-08-06,6.872
2024-08-05,6.86
2024-08-02,6.9
2024-08-01,6.916
2024-07-31,6.924
2024-07-30,6.931
2024-07-29,6.919
2024-07-26,6.94
2024-07-25,6.952
2024-07-24,6.964
2024-07-23,6.97
2024-07-22,6.967
2024-07-19,6.965
2024-07-18,6.966
2024-07-16,6.966
2024-07-15,6.981
2024-07-12,6.986
2024-07-11,6.982
2024-07-10,6.976
2024-07-09,6.989
2024-07-08,6.989
2024-07-05,6.993
2024-07-04,6.998
2024-07-03,7.001
2024-07-02,7.009
2024-07-01,7.013
2024-06-28,7.008
2024-06-27,7.0
2024-06-26,6.997
2024-06-25,6.983
2024-06-24,6.971
2024-06-21,6.973
2024-06-20,6.976
2024-06-19,6.974
2024-06-18,6.981
2024-06-14,6.984
2024-06-13,6.986
2024-06-12,7.012
2024-06-11,7.014
2024-06-10,7.032
2024-06-07,7.018
2024-06-06,7.015
2024-06-05,7.026
2024-06-04,7.033
2024-06-03,6.947
2024-05-31,6.986
2024-05-30,7.003
2024-05-29,7.008
2024-05-28,6.995
2024-05-27,6.981
2024-05-24,6.998
2024-05-22,6.997
2024-05-21,7.078
2024-05-17,7.095
2024-05-16,7.076
2024-05-15,7.086
2024-05-14,7.109
2024-05-13,7.116
2024-05-10,7.127
2024-05-09,7.135
2024-05-08,7.138
2024-05-07,7.129
2024-05-06,7.108
2024-05-03,7.149
2024-05-02,7.162
2024-04-30,7.195
2024-04-29,7.196
2024-04-26,7.199
2024-04-25,7.204
2024-04-24,7.186
2024-04-23,7.167
2024-04-22,7.192
2024-04-19,7.225
2024-04-18,7.18
2024-04-16,7.193
2024-04-15,7.175
2024-04-12,7.179
2024-04-10,7.116
2024-04-08,7.154
2024-04-05,7.117
2024-04-04,7.094
2024-04-03,7.104
2024-04-02,7.108
2024-03-28,7.052
2024-03-27,7.072
2024-03-26,7.089
2024-03-22,7.087
2024-03-21,7.05
2024-03-20,7.097
2024-03-19,7.095
2024-03-18,7.087
2024-03-15,7.062
2024-03-14,7.041
2024-03-13,7.039
2024-03-12,7.026
2024-03-11,7.014
2024-03-07,7.031
2024-03-06,7.054
2024-03-05,7.057
2024-03-04,7.06
2024-03-01,7.06
2024-02-29,7.078
2024-02-28,7.065
2024-02-27,7.068
2024-02-26,7.063
2024-02-23,7.077
2024-02-22,7.062
2024-02-21,7.045
2024-02-20,7.062
2024-02-16,7.099
2024-02-15,7.085
2024-02-14,7.114
2024-02-13,7.097
2024-02-12,7.097
2024-02-09,7.114
2024-02-08,7.082
2024-02-07,7.074
2024-02-06,7.092
2024-02-05,7.091
2024-02-02,7.05
2024-02-01,7.064
2024-01-31,7.144
2024-01-30,7.155
2024-01-29,7.171
2024-01-25,7.171
2024-01-24,7.181
2024-01-23,7.174
2024-01-19,7.184
2024-01-18,7.178
2024-01-17,7.163
2024-01-16,7.146
2024-01-15,7.148
2024-01-12,7.178
2024-01-11,7.165
2024-01-10,7.178
2024-01-09,7.189
2024-01-08,7.203
2024-01-05,7.235
2024-01-04,7.22
2024-01-03,7.216
2024-01-02,7.206
2024-01-01,7.196
2023-12-29,7.176
2023-12-28,7.207
2023-12-27,7.205
2023-12-26,7.183
2023-12-22,7.188
2023-12-21,7.184
2023-12-20,7.171
2023-12-19,7.171
2023-12-18,7.153
2023-12-15,7.163
2023-12-14,7.194
2023-12-13,7.259
2023-12-12,7.275
2023-12-11,7.281
2023-12-08,7.266
2023-12-07,7.236
2023-12-06,7.248
2023-12-05,7.262
2023-12-04,7.271
2023-12-01,7.29
2023-11-30,7.279
2023-11-29,7.252
2023-11-28,7.273
2023-11-24,7.272
2023-11-23,7.253
2023-11-22,7.247
2023-11-21,7.269
2023-11-20,7.252
2023-11-17,7.212
2023-11-16,7.232
2023-11-15,7.225
2023-11-13,7.283
2023-11-10,7.3
2023-11-09,7.269
2023-11-08,7.266
2023-11-07,7.28
2023-11-06,7.305
2023-11-03,7.317
2023-11-02,7.322
2023-11-01,7.358
2023-10-31,7.351
2023-10-30,7.369
2023-10-27,7.351
2023-10-26,7.366
2023-10-25,7.343
2023-10-23,7.382
2023-10-20,7.365
2023-10-19,7.369
2023-10-18,7.353
2023-10-17,7.328
2023-10-16,7.333
2023-10-13,7.32
2023-10-12,7.302
2023-10-11,7.307
2023-10-10,7.351
2023-10-09,7.386
2023-10-06,7.339
2023-10-05,7.214
2023-10-04,7.238
2023-10-03,7.235
2023-09-29,7.21
2023-09-28,7.238
2023-09-27,7.173
2023-09-26,7.146
2023-09-25,7.15
2023-09-22,7.15
2023-09-21,7.136
2023-09-20,7.153
2023-09-18,7.149
2023-09-15,7.158
2023-09-14,7.101
2023-09-13,7.172
2023-09-12,7.203
2023-09-11,7.209
2023-09-08,7.199
2023-09-07,7.173
2023-09-06,7.21
2023-09-05,7.206
2023-09-04,7.204
2023-09-01,7.175
2023-08-31,7.166
2023-08-30,7.185
2023-08-29,7.18
2023-08-28,7.178
2023-08-25,7.206
2023-08-24,7.193
2023-08-23,7.194
2023-08-22,7.218
2023-08-21,7.22
2023-08-18,7.214
2023-08-17,7.25
2023-08-14,7.209
2023-08-11,7.198
2023-08-10,7.154
2023-08-09,7.178
2023-08-08,7.168
2023-08-07,7.197
2023-08-04,7.193
