Date,NPM,Ticker
2018-06-30,26.33,360ONE
2018-09-30,23.6,360ONE
2018-12-31,22.75,360ONE
2019-03-31,22.93,360ONE
2019-06-30,17.04,360ONE
2019-09-30,18.53,360ONE
2019-12-31,18.24,360ONE
2020-03-31,-0.69,360ONE
2020-06-30,23.54,360ONE
2020-09-30,22.49,360ONE
2020-12-31,21.22,360ONE
2021-03-31,24.6,360ONE
2021-06-30,30.63,360ONE
2021-09-30,29.34,360ONE
2021-12-31,28.52,360ONE
2022-03-31,36.99,360ONE
2022-06-30,33.24,360ONE
2022-09-30,34.54,360ONE
2022-12-31,33.17,360ONE
2023-03-31,32.23,360ONE
2023-06-30,32.04,360ONE
2023-09-30,33.8,360ONE
2023-12-31,30.5,360ONE
2024-03-31,30.64,360ONE
2024-06-30,35.99,360ONE
2024-09-30,28.38,360ONE
2024-12-31,36.39,360ONE
2005-03-31,11.04,3MINDIA
2005-06-30,11.58,3MINDIA
2005-09-30,9.1,3MINDIA
2005-12-31,9.04,3MINDIA
2006-03-31,9.47,3MINDIA
2006-06-30,11.01,3MINDIA
2006-09-30,9.31,3MINDIA
2006-12-31,10.04,3MINDIA
2007-03-31,11.04,3MINDIA
2007-06-30,10.64,3MINDIA
2007-09-30,11.85,3MINDIA
2007-12-31,10.78,3MINDIA
2008-03-31,9.8,3MINDIA
2008-06-30,8.13,3MINDIA
2008-09-30,6.7,3MINDIA
2008-12-31,6.28,3MINDIA
2009-03-31,6.74,3MINDIA
2009-06-30,9.14,3MINDIA
2009-09-30,6.36,3MINDIA
2009-12-31,8.62,3MINDIA
2010-03-31,10.57,3MINDIA
2010-06-30,10.94,3MINDIA
2010-09-30,7.62,3MINDIA
2010-12-31,5.67,3MINDIA
2011-03-31,8.84,3MINDIA
2011-06-30,8.2,3MINDIA
2011-09-30,3.58,3MINDIA
2011-12-31,0.72,3MINDIA
2012-03-31,5.42,3MINDIA
2012-06-30,4.1,3MINDIA
2012-09-30,2.95,3MINDIA
2012-12-31,0.85,3MINDIA
2013-03-31,5.16,3MINDIA
2013-06-30,2.99,3MINDIA
2013-09-30,0.34,3MINDIA
2013-12-31,0.8,3MINDIA
2014-03-31,5.79,3MINDIA
2014-06-30,5.5,3MINDIA
2014-09-30,5.38,3MINDIA
2014-12-31,3.76,3MINDIA
2015-03-31,8.72,3MINDIA
2015-06-30,7.07,3MINDIA
2015-09-30,9.08,3MINDIA
2015-12-31,8.89,3MINDIA
2016-03-31,11.44,3MINDIA
2016-06-30,10.0,3MINDIA
2016-09-30,8.52,3MINDIA
2016-12-31,7.36,3MINDIA
2017-03-31,14.49,3MINDIA
2017-06-30,9.95,3MINDIA
2017-09-30,10.52,3MINDIA
2017-12-31,13.77,3MINDIA
2018-03-31,13.56,3MINDIA
2018-06-30,16.81,3MINDIA
2018-09-30,9.54,3MINDIA
2018-12-31,13.92,3MINDIA
2019-03-31,8.12,3MINDIA
2019-06-30,11.2,3MINDIA
2019-09-30,13.1,3MINDIA
2019-12-31,9.65,3MINDIA
2020-03-31,8.93,3MINDIA
2020-06-30,-12.28,3MINDIA
2020-09-30,10.88,3MINDIA
