Date,OPM,Ticker
2018-06-30,63.8,360ONE
2018-09-30,62.49,360ONE
2018-12-31,61.68,360ONE
2019-03-31,61.42,360ONE
2019-06-30,57.11,360ONE
2019-09-30,55.91,360ONE
2019-12-31,55.29,360ONE
2020-03-31,38.71,360ONE
2020-06-30,61.38,360ONE
2020-09-30,57.64,360ONE
2020-12-31,51.09,360ONE
2021-03-31,53.32,360ONE
2021-06-30,54.7,360ONE
2021-09-30,55.38,360ONE
2021-12-31,50.17,360ONE
2022-03-31,42.26,360ONE
2022-06-30,61.84,360ONE
2022-09-30,62.68,360ONE
2022-12-31,63.48,360ONE
2023-03-31,56.5,360ONE
2023-06-30,61.64,360ONE
2023-09-30,56.99,360ONE
2023-12-31,59.53,360ONE
2024-03-31,36.23,360ONE
2024-06-30,67.92,360ONE
2024-09-30,62.53,360ONE
2024-12-31,55.76,360ONE
2005-03-31,18.1,3MINDIA
2005-06-30,20.35,3MINDIA
2005-09-30,16.07,3MINDIA
2005-12-31,13.97,3MINDIA
2006-03-31,16.29,3MINDIA
2006-06-30,17.67,3MINDIA
2006-09-30,14.51,3MINDIA
2006-12-31,14.87,3MINDIA
2007-03-31,16.84,3MINDIA
2007-06-30,16.35,3MINDIA
2007-09-30,18.71,3MINDIA
2007-12-31,16.4,3MINDIA
2008-03-31,15.47,3MINDIA
2008-06-30,12.89,3MINDIA
2008-09-30,9.34,3MINDIA
2008-12-31,10.23,3MINDIA
2009-03-31,11.71,3MINDIA
2009-06-30,15.36,3MINDIA
2009-09-30,10.56,3MINDIA
2009-12-31,14.18,3MINDIA
2010-03-31,16.29,3MINDIA
2010-06-30,17.36,3MINDIA
2010-09-30,12.6,3MINDIA
2010-12-31,9.75,3MINDIA
2011-03-31,12.47,3MINDIA
2011-06-30,13.72,3MINDIA
2011-09-30,7.17,3MINDIA
2011-12-31,3.47,3MINDIA
2012-03-31,9.44,3MINDIA
2012-06-30,7.89,3MINDIA
2012-09-30,6.66,3MINDIA
2012-12-31,4.63,3MINDIA
2013-03-31,8.68,3MINDIA
2013-06-30,7.02,3MINDIA
2013-09-30,3.57,3MINDIA
2013-12-31,4.3,3MINDIA
2014-03-31,10.65,3MINDIA
2014-06-30,10.85,3MINDIA
2014-09-30,10.47,3MINDIA
2014-12-31,7.98,3MINDIA
2015-03-31,14.6,3MINDIA
