Date,Sales,Ticker
2019-10-03,1508.22,360ONE
2019-10-21,1451.36,360ONE
2020-01-22,1501.27,360ONE
2020-03-31,1501.27,360ONE
2020-06-11,1568.64,360ONE
2020-08-14,1556.88,360ONE
2020-09-15,1556.88,360ONE
2020-10-28,1575.0,360ONE
2021-02-02,1623.24,360ONE
2021-03-31,1623.24,360ONE
2021-05-18,1611.62,360ONE
2021-08-03,1643.61,360ONE
2021-08-25,1643.61,360ONE
2021-10-27,1741.85,360ONE
2022-02-02,1823.35,360ONE
2022-03-31,1823.35,360ONE
2022-05-04,1850.65,360ONE
2022-07-25,1940.32,360ONE
2022-09-10,1940.32,360ONE
2022-10-19,1959.45,360ONE
2023-01-19,1940.31,360ONE
2023-03-31,1940.31,360ONE
2023-05-04,1975.2,360ONE
2023-07-20,2077.08,360ONE
2023-07-31,2077.08,360ONE
2023-11-02,2122.27,360ONE
2024-01-18,2234.96,360ONE
2024-03-31,2234.96,360ONE
2024-04-23,2544.51,360ONE
2024-06-20,2920.91,360ONE
2024-07-30,2820.85,360ONE
2024-10-21,3136.01,360ONE
2025-01-27,3266.06,360ONE
2018-10-30,2885.91,3MINDIA
2019-02-12,2994.4,3MINDIA
2019-03-31,2994.4,3MINDIA
2019-05-28,3016.82,3MINDIA
2019-07-16,3016.82,3MINDIA
2019-08-13,3075.32,3MINDIA
2019-11-13,3102.43,3MINDIA
2020-02-11,3056.26,3MINDIA
2020-03-31,3056.26,3MINDIA
2020-05-29,2986.56,3MINDIA
2020-07-22,2986.55,3MINDIA
2020-08-13,2528.24,3MINDIA
2020-11-13,2454.71,3MINDIA
2021-02-10,2450.77,3MINDIA
2021-03-31,2450.77,3MINDIA
2021-05-28,2604.83,3MINDIA
2021-07-27,2604.83,3MINDIA
2021-08-12,3002.52,3MINDIA
2021-11-12,3152.62,3MINDIA
2022-02-03,3237.46,3MINDIA
2022-03-31,3237.46,3MINDIA
2022-05-27,3335.84,3MINDIA
2022-07-29,3335.84,3MINDIA
2022-08-10,3535.57,3MINDIA
2022-11-09,3672.17,3MINDIA
2023-02-08,3838.92,3MINDIA
2023-03-31,3838.92,3MINDIA
2023-05-30,3959.37,3MINDIA
2023-08-02,3959.37,3MINDIA
2023-08-10,4065.43,3MINDIA
2023-11-10,4128.25,3MINDIA
2024-02-08,4140.86,3MINDIA
2024-03-31,4140.86,3MINDIA
2024-05-28,4189.37,3MINDIA
2024-07-16,4189.36,3MINDIA
2024-08-06,4186.28,3MINDIA
2024-05-29,2043.23,AADHARHFC
2024-08-07,2043.23,AADHARHFC
2024-08-23,2586.81,AADHARHFC
