Ticker,Industry
EICHERMOT,2/3Wheelers
HEROMOTOCO,2/3Wheelers
TVSMOTOR,2/3Wheelers
BAJAJ-AUTO,2/3Wheelers
SKFINDIA,Abrasives&Bearings
GRINDWELL,Abrasives&Bearings
TIMKEN,Abrasives&Bearings
CARBORUNIV,Abrasives&Bearings
BEL,Aerospace&Defense
HAL,Aerospace&Defense
GRSE,Aerospace&Defense
BDL,Aerospace&Defense
DATAPATTNS,Aerospace&Defense
INDIGO,Airline
GMRAIRPORT,Airport&Airportservices
HINDALCO,Aluminium
NATIONALUM,Aluminium
AVANTIFEED,AnimalFeed
GODREJAGRO,AnimalFeed
HDFCAMC,AssetManagementCompany
ABSLAMC,AssetManagementCompany
UTIAMC,AssetManagementCompany
NAM-INDIA,AssetManagementCompany
SCHAEFFLER,AutoComponents&Equipments
SONACOMS,AutoComponents&Equipments
MOTHERSON,AutoComponents&Equipments
ASAHIINDIA,AutoComponents&Equipments
BOSCHLTD,AutoComponents&Equipments
RKFORGE,AutoComponents&Equipments
TIINDIA,AutoComponents&Equipments
ENDURANCE,AutoComponents&Equipments
BHARATFORG,AutoComponents&Equipments
EXIDEIND,AutoComponents&Equipments
MSUMI,AutoComponents&Equipments
ARE&M,AutoComponents&Equipments
CIEINDIA,AutoComponents&Equipments
UNOMINDA,AutoComponents&Equipments
CRAFTSMAN,AutoComponents&Equipments
MINDACORP,AutoComponents&Equipments
SUNDRMFAST,AutoComponents&Equipments
JBMA,AutoComponents&Equipments
ZFCVINDIA,AutoComponents&Equipments
VARROC,AutoComponents&Equipments
HBLENGINE,AutoComponents&Equipments
UBL,Breweries&Distilleries
UNITDSPR,Breweries&Distilleries
RADICO,Breweries&Distilleries
FSL,BusinessProcessOutsourcing(BPO)/KnowledgeProcessOutsourcing(KPO)
ECLERX,BusinessProcessOutsourcing(BPO)/KnowledgeProcessOutsourcing(KPO)
POLYCAB,Cables-Electricals
KEI,Cables-Electricals
RRKABEL,Cables-Electricals
FINCABLES,Cables-Electricals
PCBL,CarbonBlack
AIAENG,Castings&Forgings
SHREECEM,Cement&CementProducts
DALBHARAT,Cement&CementProducts
AMBUJACEM,Cement&CementProducts
GRASIM,Cement&CementProducts
RAMCOCEM,Cement&CementProducts
ULTRACEMCO,Cement&CementProducts
ACC,Cement&CementProducts
NUVOCO,Cement&CementProducts
JKCEMENT,Cement&CementProducts
INDIACEM,Cement&CementProducts
JKLAKSHMI,Cement&CementProducts
BIRLACORPN,Cement&CementProducts
KAJARIACER,Ceramics
GODFRYPHLP,Cigarettes&TobaccoProducts
GRINFRA,CivilConstruction
ENGINERSIN,CivilConstruction
LT,CivilConstruction
TECHNOE,CivilConstruction
RITES,CivilConstruction
KEC,CivilConstruction
KPIL,CivilConstruction
PNCINFRA,CivilConstruction
IRCON,CivilConstruction
NCC,CivilConstruction
RVNL,CivilConstruction
KNRCON,CivilConstruction
IRB,CivilConstruction
SWSOLAR,CivilConstruction
NBCC,CivilConstruction
COALINDIA,Coal
ASHOKLEY,CommercialVehicles
