Ticker,GrangerFeatures
360ONE,IndianBondYieldRate_scaled
3MINDIA,"EBITDA_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, GPM_scaled, CBOE_scaled, CrudeOil_scaled, Volume_scaled"
AARTIIND,"Dollar-INR_scaled, 50DayMA_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled"
AAVAS,"CBOE_scaled, Dollar-INR_scaled, GDP_scaled, PriceToBookValue_scaled"
ABB,"100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, Volume_scaled, Market-Cap-Sales_scaled"
ABBOTINDIA,"Volume_scaled, 50DayMA_scaled, 100DayMA_scaled, GPM_scaled"
ABCAPITAL,"Market-Cap-Sales_scaled, Volume_scaled, 50DayMA_scaled, PriceToBookValue_scaled, NPM_scaled, 100DayMA_scaled, BookValue_scaled"
ABFRL,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, Sales_scaled, CrudeOil_scaled, 100DayMA_scaled, EBITDA_scaled, 50DayMA_scaled"
ABREL,"50DayMA_scaled, Sales_scaled, OPM_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled"
ABSLAMC,"50DayMA_scaled, Market-Cap-Sales_scaled, BookValue_scaled, GDP_scaled"
ACC,"PriceToBookValue_scaled, Volume_scaled"
ACE,"50DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, EBITDA_scaled, Volume_scaled"
ACI,Volume_scaled
ADANIENSOL,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, GPM_scaled, IndianBondYieldRate_scaled, CrudeOil_scaled"
ADANIENT,"50DayMA_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, BookValue_scaled, 100DayMA_scaled, inflation-Monthly_scaled, Volume_scaled"
ADANIGREEN,"BookValue_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, IndianBondYieldRate_scaled"
ADANIPORTS,"BookValue_scaled, Volume_scaled, 50DayMA_scaled, inflation-Monthly_scaled"
ADANIPOWER,"Market-Cap-Sales_scaled, Volume_scaled"
AEGISLOG,"Volume_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
AFFLE,"BookValue_scaled, OPM_scaled, PriceToBookValue_scaled"
AIAENG,"EBITDA_scaled, Sales_scaled, Volume_scaled, CrudeOil_scaled, 100DayMA_scaled, 50DayMA_scaled"
AJANTPHARM,"EBITDA_scaled, Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, CrudeOil_scaled"
AKUMS,Market-Cap-Sales_scaled
ALKEM,"Volume_scaled, 50DayMA_scaled, 100DayMA_scaled, inflation-Monthly_scaled"
ALKYLAMINE,"GDP_scaled, 100DayMA_scaled, 50DayMA_scaled, UnemploymentRate_scaled, inflation-yearly_scaled"
ALOKINDS,"Market-Cap-Sales_scaled, 50DayMA_scaled, GPM_scaled, 100DayMA_scaled, UnemploymentRate_scaled, NPM_scaled, PriceToBookValue_scaled, inflation-yearly_scaled, Dollar-INR_scaled, Volume_scaled"
AMBER,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, Volume_scaled, Market-Cap-Sales_scaled"
AMBUJACEM,"BookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled, Volume_scaled"
ANANDRATHI,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, BookValue_scaled"
ANANTRAJ,"Market-Cap-Sales_scaled, 100DayMA_scaled"
ANGELONE,"EBITDA_scaled, 100DayMA_scaled, PriceToBookValue_scaled, OPM_scaled, Market-Cap-Sales_scaled, Dollar-INR_scaled, 50DayMA_scaled, NPM_scaled"
APARINDS,"PriceToBookValue_scaled, 50DayMA_scaled, BookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, CBOE_scaled"
